msg_id,date,views,score,matched,promo_codes,discounts,prices,url,text
1872,2026-08-29T18:58:58,20.2K,5,успей(3);рефералка(2),ПРО,,,https://t.me/postypashki_old/1872,"❗️ Яндекс обновил контест на стажировку, задания тут , а их разбор уже выложен на наших курсах : ➡️ алгоритмы про ➡️ бэкенд разработка про ➡️ аналитика про ➡️ машинное обучение про ➡️ ИИ-агенты ПРО — новое направление 🔥 Помимо разборов, которые проходят все скрытые тесты на наличие ИИ в решениях, на наших курсах вы получаете: 🔽 Курс по выходу на доход в валюте 🔽 Разбор текущей стажировки Т-банк 🔽 Гарантия оффера 🔽 Рефералка в бигтех после защиты пет-проекта 🔽 mock-собеседования с обратной связью"
1874,2026-08-30T13:26:37,19.3K,6,скидку(3);промокод(3),,,,https://t.me/postypashki_old/1874,"ИИ-инженеры зарабатывают 300к/наносек! В вебинаре разобрали, что сегодня ждут от начинающего АI-специалиста: какие темы проверяют на технических интервью, как выглядят реальные кейсы и почему сейчас это самый простой способ вката в МЛ. Смотрим! Смотрим! https://www.youtube.com/watch?v=0TiWWZwt43Y И да: в конце записи спрятан промокод на мощную скидку."
1876,2026-09-01T17:40:56,17.2K,4,записаться(3);изучить(1),МГУ;РЭШ;ШАД;ВШЭ;ИТМО,,,https://t.me/postypashki_old/1876,"Как НЕ продолбать год В новом учебном году нас ждет море стажировок и образовательных программ— самое время наметить цели и планы, чтобы год не прошел впустую! Стажировки Т-банк в самом разгаре , разбор уже выложен на наших курсах про . Яндекс уже обновил контест и ждет новых заявок. ВК, Сбер, Озон, Касперский и другие либо уже открыли прием заявок, либо откроют в ближайшее время. За открытием стажировок удобно следить на нашем сайте . В общем не тупим и начинаем готовиться на наших курсах, экза"
1877,2026-09-02T16:06:05,16.9K,8,записаться(3);старт(3);разберём(1);отзыв(1),ДМС;ПРО,70,,https://t.me/postypashki_old/1877,"5 причин, почему нужно податься на стажировку в Т-Банк Т-Банк открыл набор на стажировку до 6 сентября. Доступные направления: аналитика, разработка, ML. Задания контеста уже опубликованы здесь . Разборы уже выложены на наших карьреных курсах про . ➡️ Записаться Ниже обсудим, почему Т-Банк ежегодно становится сам желаемым местом для старта карьеры и за что так любят желтый банк. 1. Понятный отбор 🟦 Главная задача — правильно заполнить анкету и хорошо решить экзамен . В ролике подробно рассказали"
1878,2026-09-03T16:06:06,14.9K,13,наши курсы(3);наших курсов(3);записаться(3);старт(3);подробности(1),ПРО,90,,https://t.me/postypashki_old/1878,"❗️ Скоро заканчивается отбор на стажировку в Т-банк Дедлайн подачи до 6 сентября, задания тут . В посте обсудим основные моменты. Разбор экзаменов уже выложен на наших соответствующих курсах ПРО . ➡️ Записаться ➡️ Обязательно подаемся И не сомневаемся, это одна из лучших опций для получения первого опыта в индустрии: можно совмещать с учебой, загрузка от 20 часов в неделю, после нее легко залететь в штат и да, вам даже будут платить за нее! Для участия нужно просто заполнить анкету и решить отбо"
1880,2026-09-06T09:06:06,12.5K,5,записаться(3);изучить(1);отзыв(1),ПРО,,,https://t.me/postypashki_old/1880,❗️ Через 12 часов закончится отбор на стажировку Т-банк! Разбор всех направлениях выложен только на наших карьерные курсы ПРО . ➡️ Записаться Сразу отвечу на самые популярные вопросы: ➡️ Как посмотреть свои баллы после окончания отбора? 1. Заходим в историю своего браузера 2. Ищем по preview 3. Переходим на страницу 4. Копируем айди экзамена 5. Вставляем в готовую ссылку 6. Ищем по student_score https://edu.tbank.ru/api/v1/practice-progress/сюдаВвестиАйди/info?isSelection=true Если все совсем пл
1882,2026-09-06T15:04:47,11.8K,3,старт(3),ВТБ;ПРО;IOS;ШАД;HTTP,,,https://t.me/postypashki_old/1882,"Стажировки для разработчиков В посте обсудим, куда можно податься начинающему разработчику, а также как выглядят этапы отборов. Весь процесс в целом един: Тетс/Тестовое + Анкета ➡️ Финалы. Финальных собесов может быть несколько: с рекрутером, с ментором, с руководителем, с мамой руководителя и тд. И спросить могут все, что угодно, даже тюремные загадки (математические задачи на логику). Но о том, какой базовый минимум для подачи ниже. Можно смело подаваться на начальные позиции, когда знаете баз"
1883,2026-09-06T17:44:11,14.3K,4,наши курсы(3);отзыв(1),SQL,,,https://t.me/postypashki_old/1883,"Слив протоколов собеседований на аналитика в Т-Банке Чтобы вы реально почувствовали насколько круты наши курсы , сливаем внутреннюю кухню - как реально проходят секции аналитики в Т-Банке. Три гайда, и они закрывают сразу два разных направления - продуктовый и бизнесовый. Еще больше закрытых материалов на наших курсах про. Короче курсы реально годный, залетаем. Отзыв нашего выпускника ниже . Каркас у собесов один - 4 этапа: рекрутёр → профильная секция → знакомство с командой → оффер. Тут как ра"
1892,2026-09-07T14:05:21,12.8K,6,стартует(3);старт(3),,,,https://t.me/postypashki_old/1892,"Слив протоколов АВ тестирования для кейс-интервью X5 Наши выпускники не только сейчас активно проходят собесы, но и уже давно закрепились в штате и проводят собесы. В честь нашей открытой недели по аналитике , которое стартует уже сегодня, делимся гайдом по проведению АВ тестирования в Х5 на основе внутренних методичек, публичных выступлений и протоколов проведения собеседований. Делитесь с друзьями такой годной! Присоединиться к открытой недели можно по ссылке: https://t.me/+j_RdPEr7JudjNWM0 По"
1895,2026-09-08T15:27:01,11.7K,6,наши курсы(3);записаться(3),ПРО,,,https://t.me/postypashki_old/1895,"Собрали все задачи с алгосекции в Яндексе в одном файле с разбором частых ошибок, все это закрывают наши курсы по алгоритмам. Сохраняй и делись с друзьями такой годнотой! 🔥 Кстати а контест со стажировки уже разобран на соответствующих наших курсах ПРО . ➡ Записаться . Подписаться: @postypashki_old"
1899,2026-09-10T14:06:13,9.09K,6,наш курс(3);записаться(3),СВЭГА;ПРО;НИУ;ВШЭ;МТС,,,https://t.me/postypashki_old/1899,"Продолжаем знакомиться с талантливыми учениками Поступашек Сегодня в гостях - Катя Деева , амбасодор СВЭГА. Сейчас Катя работает в Ozon Fresh, а до этого успела попробовать себя в аналитике и продакт-менеджменте в крупных компаниях и пройти довольно непростой путь поиска того, чем вообще хочется заниматься. Смотрим интервью по ссылке: https://youtu.be/5Da-YtxUpSE Обсудили самые актуальные темы зумеров: — Как найти парня — Как делать эти самые ""социальные связи"" (нетворк) — Как кейс-чемпионаты по"
